albania 0.627 1815146
angola 0.26 5102592
argentina 0.75 32268280
australia 0.86 19554832
austria 0.806 6629433
bahrain 0.964 1297500
bangladesh 0.319 53941000
barbados 0.75 217260
belarus 0.542 5204685
belgium 0.822 8586240
belize 0.317 108048
benin 0.118 1232940
bolivia 0.395 4199437
botswana 0.15 327408
brazil 0.542 109773650
bulgaria 0.531 3674254
burkina-faso 0.053 1003379
burundi 0.049 526372
canada 0.947 33000381
chile 0.667 11686746
china 0.501 688000000
colombia 0.616 28475560
congo-dem-rep- 0.022 
congo-rep- 0.066 1703542
costa-rica 0.847 4028302
croatia 0.709 3167838
cte-divoire 0.042 968000
cyprus 0.655 767374
czech-republic 0.741 7876002
denmark 0.946 5270018
djibouti 0.099 80378
dominica 0.59 43335
dominican-republic 0.585 6054013
ecuador 0.774 12116687
egypt 0.532 46200000
estonia 0.8 1006337
france 0.833 52221000
gambia 0.141 271711
germany 0.862 69779160
ghana 0.201 5171993
greece 0.599 6451326
grenada 0.35 38553
haiti 0.106 1059653
honduras 0.186 1602558
hong-kong 0.805 5751357
hungary 0.726 7205255
iceland 0.965 7205255
india 0.283 375000000
indonesia 0.285 73000000
iran 0.572 46800000
ireland 0.783 3781639
israel 0.747 5928772
italy 0.585 36058199
jamaica 0.54 1581100
japan 0.906 114963827
korea-rep- 0.923 45314248
latvia 0.752 1628854
lebanon 0.756 3336517
lesotho 0.05 110065
luxembourg 0.938 488286
malawi 0.705 12150362
malaysia 0.675 20596847
malta 0.689 284361
mauritius 0.39 519150
mexico 0.492 59200000
mozambique 0.059 1467687
namibia 0.158 347414
nepal 0.154 4871521
netherlands-antilles 0 0
netherlands 0.94 15857959
new-zealand 0.866 3810144
nicaragua 0.155 906539
nigeria 0.511 92699924
palestinian-territory 0.606 1687739
peru 0.417 12583953
philippines 0.43 47134843
poland 0.65 24940902
portugal 0.621 6715390
romania 0.498 10812784
runion 0.346 300000
russia 0.614 87476747
rwanda 0.09 1110043
serbia 0.57 4107000
sierra-leone 0.017 97643
singapore 0.82 4653067
sint-maarten 0 0
slovak-republic 0.79 4337868
slovenia 0.727 1445091
south-africa 0.489 23655690
spain 0.748 35705960
sudan 0.2 9307189
sweden 0.948 9216226
switzerland 0.867 6989334
taiwan 0.84 19666364
tanzania 0.153 7590794
thailand 0.349 23716968
trinidad-and-tobago 0.638 780858
tunisia 0.462 5053704
turkey 0.463 37748969
uganda 0.321 11924927
ukraine 0.418 18513810
united-arab-emirates 0.932 8807226
united-kingdom 0.898 57266690
united-states 0.869 277203319
uzbekistan 0.436 12716575
vanuatu 0.113 30164
vietnam 0.501 47300000
virgin-islands-u-k- 0.447 14620
zambia 0.158 2313013
zimbabwe 0.388 5348433
cambodia 0.318 5000000
finland 0.915 4821478
kenya 0.696 31985048
norway 0.95 4892976
swaziland 0.247 350647
