6.651742253695623 1.072878122329712|6.649987999592916 1.0726925134658813|none|none
0.11501313000917435 1.1007685661315918|0.1155911311507225 1.0825779438018799|netherlands|netherlands
6.322580330316917 0.9812593460083008|6.322589989994661 0.9812492728233337|none|none
5.8999338189708155 1.4714540243148804|4.2925220171557825 1.0393824577331543|none|none
5.038217846547262 0.8232566714286804|5.0365135113345545 0.8048979640007019|none|none
-6.1307276527034205 1.0139164924621582|-6.13070917526354 1.0139188766479492|none|none
6.727691028510229 1.5069704055786133|6.8125489989863794 1.3163954019546509|none|none
-3.2335892359363 -0.6903277039527893|-3.223947350178854 -0.7131935954093933|none|none
-6.199887652193205 0.9014223217964172|-6.241091475133793 0.9783576726913452|none|none
9.295607153569357 -0.8455566763877869|9.259020630513326 -0.9032326340675354|none|none
-0.7673799395561218 -0.3554849624633789|-0.8345654606819153 -0.3776894509792328|brazil|brazil
0.08451490104198456 1.0775485038757324|0.09083152562379837 1.0771328210830688|netherlands|netherlands
-8.115704242383138 0.7571269869804382|-8.237542812024252 0.6202086806297302|none|none
4.938773099576132 0.738102376461029|4.857914153729574 0.5559926629066467|none|none
6.368476893995897 1.0757403373718262|6.369592841957704 1.07630455493927|none|none
0.3664856255054474 1.071413278579712|0.36402496695518494 1.0710982084274292|poland|poland
-5.408383969460623 1.1007452011108398|-5.075093452130453 0.7922531366348267|none|none
0.19238223135471344 0.9952540993690491|0.1942572444677353 0.9947639107704163|germany|germany
-5.927384946738378 0.8766003251075745|-5.925773892794744 0.8760373592376709|none|none
0.041219327598810196 0.9815442562103271|0.040913768112659454 0.9803470969200134|france|france
-6.241783574466602 0.9812441468238831|-6.241965979580776 0.9815442562103271|none|none
-5.754067901765005 1.314687728881836|-5.753652815018789 1.3138445615768433|none|none
9.259020630513326 -0.9032326340675354|9.333601299916403 -0.7923868298530579|none|none
-6.142711732779638 0.8952902555465698|-6.135462705289022 0.9044972062110901|none|none
6.435739059244291 1.0135903358459473|6.43445368507971 1.0135468244552612|none|none
-4.290592734013693 0.39905938506126404|-4.289207522069113 0.3987913727760315|none|none
-7.440995041524069 -0.6170262098312378|-7.346955720578329 -0.6440919041633606|none|none
0.10089854896068573 1.0361253023147583|0.10202177613973618 1.0380088090896606|netherlands|netherlands
1.4468060731887817 1.153592824935913|1.0584272146224976 1.2117588520050049|russia|russia
0.6565951704978943 1.173462986946106|0.8444694876670837 1.13344407081604|russia|russia
4.753713432942526 0.806307852268219|4.7537228504764 0.8062726855278015|none|none
-6.340884860848085 1.1829758882522583|-6.310178341587083 1.118090033531189|none|none
6.368086185549394 0.8993455767631531|6.366482962165968 0.9014223217964172|none|none
-0.005103517323732376 1.0484005212783813|0.03939502313733101 0.9812593460083008|united-kingdom|france
6.939605418835775 1.177504062652588|6.938660446797506 1.1789076328277588|none|none
-7.623460952435629 0.3193225860595703|-7.545345846806661 0.3287898302078247|none|none
-7.574749056492941 0.7791860103607178|-7.574874345456259 0.7793475985527039|none|none
5.482296113167898 -0.4162735939025879|5.515805367623464 -0.3554849624633789|none|none
8.951771799718038 -0.5031149983406067|8.886061970387594 -0.6582059860229492|none|none
6.5133374522077006 0.908200740814209|6.48277792731394 0.9384490847587585|none|none
-2.1487112045288086 0.9913893342018127|-2.135209798812866 0.9474450349807739|canada|united-states
-4.064444367085592 0.7050485014915466|-4.068716351185934 0.7065689563751221|none|none
-8.428036038075582 0.8950023651123047|-8.428454939519064 0.8950477242469788|none|none
-4.452104393635885 0.2032274454832077|-4.451976601277487 0.20310556888580322|none|none
0.8444694876670837 1.13344407081604|0.8748013377189636 1.1007452011108398|russia|russia
-4.054084364567892 0.47546932101249695|-3.3453951517688196 -0.31451481580734253|none|none
5.529036287461416 -0.41083258390426636|5.528893772755758 -0.41199010610580444|none|none
0.07513738423585892 1.0545222759246826|0.07763500511646271 1.0626027584075928|netherlands|netherlands
-1.0041754245758057 -0.7162051200866699|-1.0637704133987427 -0.6440919041633606|argentina|argentina
5.447472993527548 -0.2794305682182312|5.4447805921183985 -0.2799948453903198|none|none
-6.132604081426756 0.8924812078475952|-6.132835660372869 0.8794323801994324|none|none
-1.3996330499649048 0.4659954905509949|-1.4252711534500122 0.5559926629066467|united-states|united-states
-6.1967478583203714 1.0763134956359863|-6.196777772401468 1.07630455493927|none|none
0.5456123948097229 0.5506563782691956|0.4167661666870117 0.7154589891433716|egypt|greece
-3.7539249102221888 -0.714038610458374|-3.8641584555255335 -0.6513945460319519|none|none
6.97552609840502 -0.07063063979148865|6.923661235963003 -0.05881782993674278|none|none
0.29837766289711 0.9605745077133179|0.2851661443710327 0.9616105556488037|slovak-republic|austria
6.371129635964529 1.0576127767562866|6.381347205732958 1.0669447183609009|none|none
6.436197255049841 1.0980303287506104|6.402994048093454 1.0996285676956177|none|none
6.537220690642492 1.1074249744415283|6.458565656338827 1.1108990907669067|none|none
-6.067159939800398 1.1745445728302002|-6.1078316310988825 1.1109124422073364|none|none
5.421859625970022 -0.4599423110485077|5.3076779286014 -0.4969066381454468|none|none
0.19238223135471344 0.9952540993690491|0.19507649540901184 0.9942216277122498|germany|germany
-7.527708355580465 0.824032723903656|-7.393679801617758 0.8728876113891602|none|none
8.813012663518087 -0.7143193483352661|8.81315809885134 -0.7139879465103149|none|none
-5.984807644282476 0.9605745077133179|-5.9980191628085535 0.9616105556488037|none|none
2.670896291732788 -0.4987379312515259|2.6707897186279297 -0.49884533882141113|australia|australia
4.776913944874899 0.5978358387947083|4.810273114834921 0.6265205144882202|none|none
0.8444694876670837 1.13344407081604|0.6939069628715515 0.9374290108680725|russia|russia
6.738982830439703 0.8686122298240662|6.694863025342123 0.9258211255073547|none|none
0.03684735670685768 0.7948427796363831|0.09377525001764297 0.8402795195579529|spain|france
0.0844506248831749 1.0774779319763184|0.08427689224481583 1.0759509801864624|netherlands|netherlands
-7.574874345456259 0.7793475985527039|-7.574749056492941 0.7791860103607178|none|none
6.5360436777221125 0.9073558449745178|6.479622025285856 0.8516318798065186|none|none
-1.3118547201156616 0.7620521187782288|-1.3000038862228394 0.7756502032279968|united-states|united-states
-5.929567996655599 1.458972692489624|-6.10175741115679 1.4434624910354614|none|none
-5.75409841934313 1.3147021532058716|-5.753830556069509 1.3129783868789673|none|none
8.497918669377462 0.70869380235672|8.497654263173239 0.7065689563751221|none|none
-5.629037622605459 1.1765697002410889|-5.626765195523397 1.177504062652588|none|none
-6.284459467289047 1.0526326894760132|-6.28768656194304 1.0529288053512573|none|none
-5.715388123189108 0.27480465173721313|-5.736112360154287 0.5511400103569031|none|none
2.9377901554107666 -0.31451481580734253|2.4396252632141113 0.6660429239273071|vanuatu|japan
-5.780014995728628 0.7857168912887573|-5.7800161878215235 0.7857106924057007|none|none
6.537220690642492 1.1074249744415283|6.517563868557112 1.0790544748306274|none|none
6.938727680836813 1.1750128269195557|6.937332991753713 1.1765697002410889|none|none
-6.10175741115679 1.4434624910354614|-6.094079379235403 1.3148107528686523|none|none
0.0849008783698082 0.8993455767631531|0.10012225806713104 0.8860689997673035|france|france
-6.19991816977133 1.0742427110671997|-6.199378799890177 1.0753319263458252|none|none
0.6923407912254333 -0.07063063979148865|1.0035008192062378 -0.3609011471271515|kenya|mauritius
-2.141134738922119 0.8942997455596924|-2.1411831378936768 0.8942968249320984|united-states|united-states
8.701761786137716 -0.6514893770217896|8.812526051198141 -0.7143378257751465|none|none
-7.050457362328665 -0.3539097011089325|-7.118897620831625 -0.2794305682182312|none|none
-6.088108811770574 0.9942216277122498|-6.081494707857267 0.9612231850624084|none|none
6.403040904794828 1.0433554649353027|6.402171384786264 1.045555591583252|none|none
0.10781051218509674 1.0733250379562378|0.11811304837465286 1.073102355003357|netherlands|netherlands
6.433779169117109 1.0132958889007568|6.433856357132093 1.013363242149353|none|none
6.4026574606644076 1.0359764099121094|6.4030210117446344 1.043347954750061|none|none
6.25619227277209 1.118090033531189|6.281911147070126 1.0526326894760132|none|none
6.25619227277209 1.118090033531189|6.244091328476564 1.1087825298309326|none|none
6.389443416391508 1.0806382894515991|6.390995819364683 1.0733250379562378|none|none
-4.418760482464926 -0.10910363495349884|-4.260419670735494 -0.5872442722320557|none|none
-1.6893779039382935 0.6062994599342346|-1.5062713623046875 0.5978358387947083|united-states|united-states
8.922204796467916 -0.6288187503814697|8.922269884740011 -0.6290663480758667|none|none
6.776806298886434 -0.272236704826355|6.581350568925039 -0.40452244877815247|none|none
0.31317049264907837 1.2963961362838745|0.3152235448360443 1.294219970703125|sweden|sweden
-4.054084364567892 0.47546932101249695|-4.008571688328878 0.6228758692741394|none|none
0.3574114143848419 0.8760373592376709|0.3558003604412079 0.8766003251075745|serbia|serbia
-1.650749921798706 0.7425562143325806|-1.6914891004562378 0.6118585467338562|united-states|united-states
-3.644294563923971 -0.6290389895439148|-3.6443565527545374 -0.6298114657402039|none|none
4.991562072430746 0.779401421546936|4.991512004529135 0.7795592546463013|none|none
0.18910592794418335 1.3148107528686523|0.20949144661426544 1.2403002977371216|norway|sweden
7.550983134900228 0.4163106679916382|7.555546824132101 0.3390236794948578|none|none
-3.6443565527545374 -0.6298114657402039|-3.64436918893923 -0.6298641562461853|none|none
0.11039207875728607 1.0023902654647827|0.14989638328552246 1.0133112668991089|luxembourg|germany
0.42127084732055664 1.214240550994873|0.5367423892021179 1.3045010566711426|latvia|russia
3.0592379570007324 -0.7131935954093933|3.527008597050802 0.3812730312347412|new-zealand|none
-1.5394017696380615 0.3105131685733795|-1.3996329307556152 0.4658646583557129|belize|united-states
6.43445368507971 1.0135468244552612|6.434739489351408 1.0137295722961426|none|none
1.8204660415649414 1.074323296546936|1.5997482538223267 0.4730015695095062|russia|india
-5.912524108086721 0.8996002078056335|-5.8279064933406275 0.8673872351646423|none|none
6.8123027125941675 1.314687728881836|6.812811199818746 1.3149755001068115|none|none
8.954094235097067 -0.4986491799354553|8.954082075749533 -0.49873802065849304|none|none
6.324505746607677 0.981436550617218|6.324233532194988 0.9818951487541199|none|none
6.359970983360903 1.0454682111740112|6.283134408141699 1.0523895025253296|none|none
0.2952698767185211 1.0778824090957642|0.29543575644493103 1.0776984691619873|poland|poland
0.4921402633190155 -0.4728897511959076|0.5434374213218689 -0.47615179419517517|south-africa|swaziland
6.360207569097177 1.0341702699661255|6.324233532194988 0.9818951487541199|none|none
6.430214781557218 0.889371395111084|6.426756549869673 0.8790265321731567|none|none
-5.6689079443561 0.5880293846130371|-5.675129298363821 0.5922804474830627|none|none
0.1139441728591919 1.1019896268844604|0.11407268047332764 1.1018526554107666|netherlands|netherlands
-0.06237472593784332 0.773138701915741|0.024159902706742287 0.846077024936676|spain|france
8.114266220723287 0.2032274454832077|8.114022437726156 0.20322100818157196|none|none
-1.3444122076034546 0.738102376461029|-1.3996330499649048 0.4659954905509949|united-states|united-states
-5.875925664101736 0.8241041898727417|-5.876141909752981 0.825644314289093|none|none
6.8122721950160425 1.3147021532058716|6.718103889619009 1.3241077661514282|none|none
