6.825412515793936 -0.543872058391571|6.852175716553823 -0.46922382712364197|6.826622728501455 -0.47615179419517517|none|none|none
7.251572434102194 -0.3731859624385834|6.852175716553823 -0.46922382712364197|6.825412515793936 -0.543872058391571|none|none|none
6.852175716553823 -0.46922382712364197|6.825156811867849 -0.3163681626319885|6.826622728501455 -0.47615179419517517|none|none|none
6.775325570498602 -0.4728897511959076|6.825412515793936 -0.543872058391571|6.826622728501455 -0.47615179419517517|none|none|none
6.894320849572317 -0.2793594002723694|6.852175716553823 -0.46922382712364197|7.251572434102194 -0.3731859624385834|none|none|none
7.251572434102194 -0.3731859624385834|6.825412515793936 -0.543872058391571|6.824105683957235 -0.5448637008666992|none|none|none
6.852175716553823 -0.46922382712364197|6.894320849572317 -0.2793594002723694|6.825156811867849 -0.3163681626319885|none|none|none
6.825156811867849 -0.3163681626319885|6.775079582129614 -0.4677474796772003|6.826622728501455 -0.47615179419517517|none|none|none
6.825412515793936 -0.543872058391571|6.775325570498602 -0.4728897511959076|6.824105683957235 -0.5448637008666992|none|none|none
6.775079582129614 -0.4677474796772003|6.775325570498602 -0.4728897511959076|6.826622728501455 -0.47615179419517517|none|none|none
6.894320849572317 -0.2793594002723694|7.251572434102194 -0.3731859624385834|6.968901280556814 -0.11919613927602768|none|none|none
8.30525261560549 -0.5891169309616089|7.251572434102194 -0.3731859624385834|6.824105683957235 -0.5448637008666992|none|none|none
6.894320849572317 -0.2793594002723694|6.776806298886434 -0.272236704826355|6.825156811867849 -0.3163681626319885|none|none|none
6.71393528977503 -0.4002548158168793|6.775079582129614 -0.4677474796772003|6.825156811867849 -0.3163681626319885|none|none|none
6.775325570498602 -0.4728897511959076|6.763030950223104 -0.53557288646698|6.824105683957235 -0.5448637008666992|none|none|none
6.774349097405569 -0.4688257575035095|6.775325570498602 -0.4728897511959076|6.775079582129614 -0.4677474796772003|none|none|none
7.251572434102194 -0.3731859624385834|7.286686126385824 -0.3609011471271515|6.968901280556814 -0.11919613927602768|none|none|none
6.795545403157369 -0.05889507383108139|6.894320849572317 -0.2793594002723694|6.968901280556814 -0.11919613927602768|none|none|none
8.30525261560549 -0.5891169309616089|8.305172506962911 -0.5890506505966187|7.251572434102194 -0.3731859624385834|none|none|none
6.60544848838915 -0.6310338973999023|8.30525261560549 -0.5891169309616089|6.824105683957235 -0.5448637008666992|none|none|none
6.894320849572317 -0.2793594002723694|6.795545403157369 -0.05889507383108139|6.776806298886434 -0.272236704826355|none|none|none
6.776806298886434 -0.272236704826355|6.71393528977503 -0.4002548158168793|6.825156811867849 -0.3163681626319885|none|none|none
6.71393528977503 -0.4002548158168793|6.774349097405569 -0.4688257575035095|6.775079582129614 -0.4677474796772003|none|none|none
6.763030950223104 -0.53557288646698|6.775325570498602 -0.4728897511959076|6.772576246653692 -0.4741958975791931|none|none|none
6.763030950223104 -0.53557288646698|6.60544848838915 -0.6310338973999023|6.824105683957235 -0.5448637008666992|none|none|none
6.775325570498602 -0.4728897511959076|6.774349097405569 -0.4688257575035095|6.772530589495794 -0.47305771708488464|none|none|none
8.305172506962911 -0.5890506505966187|7.286686126385824 -0.3609011471271515|7.251572434102194 -0.3731859624385834|none|none|none
6.968901280556814 -0.11919613927602768|7.286686126385824 -0.3609011471271515|6.97552609840502 -0.07063063979148865|none|none|none
6.923661235963003 -0.05881782993674278|6.795545403157369 -0.05889507383108139|6.968901280556814 -0.11919613927602768|none|none|none
